txt_emo,txt_cond,wav_emo,tts_model,filename,pred_emo,slm
sad,explicit,angry,STYLE,10_sad_explicit_angry_0020_STYLE.wav,sad,salmonn
angry,implicit,sad,STYLE,01_angry_implicit_sad_0011_STYLE.wav,angry,salmonn
happy,implicit,angry,STYLE,02_happy_implicit_angry_0019_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,16_neutral_happy_0012_STYLE.wav,neutral,salmonn
angry,implicit,neutral,STYLE,08_angry_implicit_neutral_0013_STYLE.wav,angry,salmonn
happy,explicit,angry,STYLE,01_happy_explicit_angry_0017_STYLE.wav,angry,salmonn
angry,implicit,sad,STYLE,04_angry_implicit_sad_0012_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,04_neutral_happy_0016_STYLE.wav,neutral,salmonn
neutral,neutral,neutral,STYLE,10_neutral_neutral_0015_STYLE.wav,neutral,salmonn
angry,explicit,sad,STYLE,12_angry_explicit_sad_0015_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,07_sad_explicit_sad_0014_STYLE.wav,sad,salmonn
angry,implicit,happy,STYLE,13_angry_implicit_happy_0017_STYLE.wav,angry,salmonn
sad,explicit,angry,STYLE,11_sad_explicit_angry_0012_STYLE.wav,sad,salmonn
happy,explicit,happy,STYLE,12_happy_explicit_happy_0020_STYLE.wav,happy,salmonn
sad,explicit,angry,STYLE,06_sad_explicit_angry_0016_STYLE.wav,sad (sadness filled me as i packed my things),salmonn
happy,explicit,angry,STYLE,10_happy_explicit_angry_0018_STYLE.wav,happy,salmonn
happy,explicit,sad,STYLE,02_happy_explicit_sad_0015_STYLE.wav,happy,salmonn
sad,explicit,happy,STYLE,11_sad_explicit_happy_0016_STYLE.wav,angry,salmonn
happy,explicit,angry,STYLE,06_happy_explicit_angry_0020_STYLE.wav,happy,salmonn
sad,implicit,neutral,STYLE,01_sad_implicit_neutral_0017_STYLE.wav,neutral,salmonn
sad,explicit,sad,STYLE,06_sad_explicit_sad_0017_STYLE.wav,sad,salmonn
happy,explicit,happy,STYLE,11_happy_explicit_happy_0011_STYLE.wav,happy,salmonn
sad,explicit,sad,STYLE,11_sad_explicit_sad_0011_STYLE.wav,sad,salmonn
angry,explicit,happy,STYLE,09_angry_explicit_happy_0013_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,04_neutral_angry_0012_STYLE.wav,neutral,salmonn
neutral,neutral,neutral,STYLE,14_neutral_neutral_0016_STYLE.wav,neutral,salmonn
angry,explicit,neutral,STYLE,13_angry_explicit_neutral_0017_STYLE.wav,angry,salmonn
sad,explicit,angry,STYLE,09_sad_explicit_angry_0012_STYLE.wav,sad,salmonn
happy,explicit,neutral,STYLE,07_happy_explicit_neutral_0018_STYLE.wav,happy,salmonn
sad,explicit,angry,STYLE,01_sad_explicit_angry_0020_STYLE.wav,sad,salmonn
neutral,neutral,neutral,STYLE,11_neutral_neutral_0019_STYLE.wav,neutral,salmonn
angry,explicit,happy,STYLE,05_angry_explicit_happy_0011_STYLE.wav,angry,salmonn
sad,explicit,happy,STYLE,06_sad_explicit_happy_0013_STYLE.wav,sadness,salmonn
happy,explicit,sad,STYLE,01_happy_explicit_sad_0015_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,12_angry_explicit_neutral_0016_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,19_neutral_sad_0014_STYLE.wav,neutral,salmonn
sad,explicit,angry,STYLE,04_sad_explicit_angry_0020_STYLE.wav,sad,salmonn
sad,implicit,neutral,STYLE,04_sad_implicit_neutral_0019_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,08_neutral_angry_0018_STYLE.wav,angry,salmonn
angry,implicit,happy,STYLE,07_angry_implicit_happy_0011_STYLE.wav,angry,salmonn
sad,explicit,happy,STYLE,08_sad_explicit_happy_0020_STYLE.wav,sad,salmonn
happy,explicit,happy,STYLE,09_happy_explicit_happy_0014_STYLE.wav,happy,salmonn
sad,explicit,sad,STYLE,03_sad_explicit_sad_0018_STYLE.wav,sad,salmonn
angry,implicit,angry,STYLE,03_angry_implicit_angry_0014_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,09_neutral_happy_0019_STYLE.wav,neutral,salmonn
happy,implicit,happy,STYLE,02_happy_implicit_happy_0018_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,04_angry_explicit_neutral_0017_STYLE.wav,angry,salmonn
happy,implicit,happy,STYLE,06_happy_implicit_happy_0019_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,20_neutral_happy_0012_STYLE.wav,neutral,salmonn
sad,explicit,angry,STYLE,03_sad_explicit_angry_0016_STYLE.wav,sad,salmonn
happy,explicit,angry,STYLE,05_happy_explicit_angry_0012_STYLE.wav,happy,salmonn
neutral,neutral,angry,STYLE,20_neutral_angry_0017_STYLE.wav,neutral,salmonn
sad,implicit,happy,STYLE,01_sad_implicit_happy_0019_STYLE.wav,neutral,salmonn
angry,implicit,happy,STYLE,03_angry_implicit_happy_0011_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,08_neutral_neutral_0011_STYLE.wav,neutral,salmonn
happy,explicit,sad,STYLE,10_happy_explicit_sad_0011_STYLE.wav,happy,salmonn
happy,explicit,happy,STYLE,01_happy_explicit_happy_0017_STYLE.wav,angry,salmonn
happy,implicit,sad,STYLE,03_happy_implicit_sad_0012_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,04_neutral_sad_0011_STYLE.wav,neutral,salmonn
sad,explicit,happy,STYLE,10_sad_explicit_happy_0020_STYLE.wav,sad,salmonn
neutral,neutral,angry,STYLE,16_neutral_angry_0012_STYLE.wav,neutral,salmonn
happy,implicit,angry,STYLE,13_happy_implicit_angry_0015_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,15_neutral_angry_0013_STYLE.wav,angry,salmonn
happy,explicit,happy,STYLE,08_happy_explicit_happy_0016_STYLE.wav,happy,salmonn
neutral,neutral,neutral,STYLE,15_neutral_neutral_0017_STYLE.wav,neutral,salmonn
sad,implicit,happy,STYLE,10_sad_implicit_happy_0011_STYLE.wav,neutral,salmonn
sad,explicit,neutral,STYLE,02_sad_explicit_neutral_0016_STYLE.wav,sad,salmonn
angry,explicit,happy,STYLE,11_angry_explicit_happy_0019_STYLE.wav,angry,salmonn
sad,implicit,angry,STYLE,11_sad_implicit_angry_0020_STYLE.wav,angry,salmonn
sad,implicit,angry,STYLE,02_sad_implicit_angry_0012_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,11_neutral_sad_0018_STYLE.wav,neutral,salmonn
happy,explicit,angry,STYLE,08_happy_explicit_angry_0012_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,09_neutral_neutral_0012_STYLE.wav,neutral,salmonn
angry,implicit,sad,STYLE,07_angry_implicit_sad_0018_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,09_neutral_angry_0013_STYLE.wav,angry,salmonn
angry,implicit,angry,STYLE,02_angry_implicit_angry_0017_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,12_neutral_sad_0012_STYLE.wav,neutral,salmonn
sad,implicit,sad,STYLE,08_sad_implicit_sad_0019_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,22_neutral_happy_0016_STYLE.wav,neutral,salmonn
sad,implicit,happy,STYLE,05_sad_implicit_happy_0020_STYLE.wav,neutral,salmonn
happy,explicit,angry,STYLE,11_happy_explicit_angry_0019_STYLE.wav,happy,salmonn
neutral,neutral,neutral,STYLE,01_neutral_neutral_0017_STYLE.wav,neutral,salmonn
sad,explicit,neutral,STYLE,06_sad_explicit_neutral_0016_STYLE.wav,sad,salmonn
sad,implicit,sad,STYLE,01_sad_implicit_sad_0020_STYLE.wav,angry,salmonn
angry,implicit,happy,STYLE,06_angry_implicit_happy_0012_STYLE.wav,angry,salmonn
happy,implicit,neutral,STYLE,09_happy_implicit_neutral_0013_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,21_neutral_neutral_0013_STYLE.wav,neutral,salmonn
happy,explicit,sad,STYLE,07_happy_explicit_sad_0019_STYLE.wav,happy,salmonn
neutral,neutral,sad,STYLE,13_neutral_sad_0017_STYLE.wav,neutral,salmonn
sad,implicit,angry,STYLE,01_sad_implicit_angry_0011_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,10_happy_explicit_neutral_0015_STYLE.wav,happy,salmonn
happy,implicit,angry,STYLE,01_happy_implicit_angry_0020_STYLE.wav,angry,salmonn
sad,implicit,neutral,STYLE,08_sad_implicit_neutral_0016_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,18_neutral_happy_0019_STYLE.wav,angry,salmonn
sad,implicit,happy,STYLE,02_sad_implicit_happy_0015_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,13_happy_explicit_neutral_0012_STYLE.wav,happy,salmonn
happy,implicit,happy,STYLE,03_happy_implicit_happy_0019_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,02_angry_explicit_neutral_0016_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,06_happy_explicit_neutral_0015_STYLE.wav,angry,salmonn
sad,implicit,happy,STYLE,08_sad_implicit_happy_0013_STYLE.wav,angry,salmonn
sad,implicit,sad,STYLE,09_sad_implicit_sad_0018_STYLE.wav,angry,salmonn
happy,implicit,sad,STYLE,12_happy_implicit_sad_0019_STYLE.wav,neutral,salmonn
neutral,neutral,angry,STYLE,19_neutral_angry_0018_STYLE.wav,angry,salmonn
sad,implicit,angry,STYLE,04_sad_implicit_angry_0013_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,06_neutral_happy_0015_STYLE.wav,angry,salmonn
angry,implicit,neutral,STYLE,12_angry_implicit_neutral_0020_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,08_angry_explicit_neutral_0020_STYLE.wav,angry,salmonn
happy,implicit,angry,STYLE,12_happy_implicit_angry_0012_STYLE.wav,neutral,salmonn
neutral,neutral,sad,STYLE,01_neutral_sad_0020_STYLE.wav,neutral,salmonn
angry,implicit,angry,STYLE,06_angry_implicit_angry_0013_STYLE.wav,angry,salmonn
angry,explicit,happy,STYLE,08_angry_explicit_happy_0017_STYLE.wav,angry,salmonn
angry,implicit,happy,STYLE,02_angry_implicit_happy_0017_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,06_neutral_sad_0017_STYLE.wav,neutral,salmonn
sad,explicit,sad,STYLE,01_sad_explicit_sad_0015_STYLE.wav,sad,salmonn
angry,explicit,angry,STYLE,10_angry_explicit_angry_0015_STYLE.wav,angry,salmonn
angry,explicit,happy,STYLE,01_angry_explicit_happy_0019_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,10_angry_explicit_neutral_0018_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,05_happy_explicit_neutral_0015_STYLE.wav,happy,salmonn
sad,implicit,angry,STYLE,13_sad_implicit_angry_0011_STYLE.wav,neutral,salmonn
sad,implicit,happy,STYLE,04_sad_implicit_happy_0011_STYLE.wav,angry,salmonn
angry,explicit,happy,STYLE,04_angry_explicit_happy_0015_STYLE.wav,angry,salmonn
angry,implicit,sad,STYLE,08_angry_implicit_sad_0019_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,11_angry_explicit_angry_0018_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,18_neutral_neutral_0019_STYLE.wav,neutral,salmonn
angry,implicit,sad,STYLE,13_angry_implicit_sad_0019_STYLE.wav,angry,salmonn
sad,implicit,angry,STYLE,10_sad_implicit_angry_0013_STYLE.wav,neutral,salmonn
angry,explicit,neutral,STYLE,01_angry_explicit_neutral_0015_STYLE.wav,angry,salmonn
angry,implicit,angry,STYLE,05_angry_implicit_angry_0020_STYLE.wav,neutral,salmonn
angry,implicit,happy,STYLE,12_angry_implicit_happy_0011_STYLE.wav,neutral,salmonn
angry,implicit,angry,STYLE,13_angry_implicit_angry_0018_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,08_angry_explicit_angry_0011_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,02_sad_explicit_sad_0012_STYLE.wav,sad,salmonn
happy,implicit,happy,STYLE,13_happy_implicit_happy_0019_STYLE.wav,angry,salmonn
happy,explicit,happy,STYLE,04_happy_explicit_happy_0013_STYLE.wav,happy,salmonn
sad,implicit,happy,STYLE,07_sad_implicit_happy_0013_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,07_neutral_sad_0012_STYLE.wav,neutral,salmonn
angry,explicit,angry,STYLE,04_angry_explicit_angry_0013_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,05_neutral_neutral_0013_STYLE.wav,neutral,salmonn
neutral,neutral,angry,STYLE,22_neutral_angry_0014_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,07_neutral_happy_0013_STYLE.wav,neutral,salmonn
happy,implicit,angry,STYLE,07_happy_implicit_angry_0018_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,08_neutral_happy_0014_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,14_neutral_happy_0015_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,25_neutral_neutral_0014_STYLE.wav,neutral,salmonn
happy,explicit,neutral,STYLE,11_happy_explicit_neutral_0012_STYLE.wav,happy,salmonn
neutral,neutral,angry,STYLE,23_neutral_angry_0011_STYLE.wav,neutral,salmonn
happy,explicit,neutral,STYLE,04_happy_explicit_neutral_0015_STYLE.wav,happy,salmonn
sad,explicit,neutral,STYLE,12_sad_explicit_neutral_0014_STYLE.wav,sad,salmonn
sad,implicit,angry,STYLE,08_sad_implicit_angry_0013_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,01_sad_explicit_neutral_0020_STYLE.wav,sad,salmonn
neutral,neutral,happy,STYLE,19_neutral_happy_0018_STYLE.wav,neutral,salmonn
angry,explicit,happy,STYLE,10_angry_explicit_happy_0013_STYLE.wav,angry,salmonn
happy,implicit,neutral,STYLE,08_happy_implicit_neutral_0014_STYLE.wav,neutral,salmonn
neutral,neutral,angry,STYLE,14_neutral_angry_0011_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,23_neutral_sad_0014_STYLE.wav,neutral,salmonn
angry,explicit,angry,STYLE,02_angry_explicit_angry_0014_STYLE.wav,angry,salmonn
happy,explicit,sad,STYLE,12_happy_explicit_sad_0016_STYLE.wav,happy,salmonn
happy,explicit,sad,STYLE,11_happy_explicit_sad_0017_STYLE.wav,happy,salmonn
sad,explicit,happy,STYLE,04_sad_explicit_happy_0016_STYLE.wav,sad,salmonn
angry,implicit,happy,STYLE,04_angry_implicit_happy_0012_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,12_angry_explicit_angry_0011_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,10_sad_explicit_neutral_0012_STYLE.wav,sad,salmonn
happy,implicit,sad,STYLE,07_happy_implicit_sad_0017_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,13_neutral_happy_0012_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,07_angry_explicit_angry_0018_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,03_happy_explicit_neutral_0020_STYLE.wav,happy,salmonn
angry,implicit,neutral,STYLE,01_angry_implicit_neutral_0013_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,22_neutral_sad_0012_STYLE.wav,neutral,salmonn
neutral,neutral,neutral,STYLE,03_neutral_neutral_0016_STYLE.wav,angry,salmonn
sad,implicit,happy,STYLE,11_sad_implicit_happy_0019_STYLE.wav,angry,salmonn
sad,implicit,neutral,STYLE,12_sad_implicit_neutral_0013_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,02_neutral_sad_0013_STYLE.wav,neutral,salmonn
sad,explicit,happy,STYLE,03_sad_explicit_happy_0020_STYLE.wav,sad,salmonn
sad,implicit,sad,STYLE,13_sad_implicit_sad_0016_STYLE.wav,angry,salmonn
happy,explicit,sad,STYLE,06_happy_explicit_sad_0012_STYLE.wav,angry,salmonn
happy,implicit,sad,STYLE,10_happy_implicit_sad_0012_STYLE.wav,angry,salmonn
sad,implicit,neutral,STYLE,06_sad_implicit_neutral_0016_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,07_neutral_neutral_0015_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,12_neutral_happy_0016_STYLE.wav,angry,salmonn
angry,implicit,sad,STYLE,09_angry_implicit_sad_0015_STYLE.wav,neutral,salmonn
angry,explicit,neutral,STYLE,11_angry_explicit_neutral_0020_STYLE.wav,angry,salmonn
sad,explicit,happy,STYLE,01_sad_explicit_happy_0017_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,04_sad_explicit_neutral_0014_STYLE.wav,sad,salmonn
angry,explicit,happy,STYLE,06_angry_explicit_happy_0013_STYLE.wav,angry,salmonn
happy,explicit,angry,STYLE,09_happy_explicit_angry_0020_STYLE.wav,angry,salmonn
sad,explicit,angry,STYLE,07_sad_explicit_angry_0011_STYLE.wav,sad,salmonn
neutral,neutral,sad,STYLE,03_neutral_sad_0016_STYLE.wav,angry,salmonn
angry,explicit,sad,STYLE,07_angry_explicit_sad_0017_STYLE.wav,angry,salmonn
angry,implicit,happy,STYLE,11_angry_implicit_happy_0019_STYLE.wav,angry,salmonn
angry,implicit,neutral,STYLE,02_angry_implicit_neutral_0016_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,09_sad_explicit_sad_0014_STYLE.wav,sad,salmonn
angry,explicit,neutral,STYLE,09_angry_explicit_neutral_0018_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,06_angry_explicit_angry_0016_STYLE.wav,angry,salmonn
angry,implicit,angry,STYLE,01_angry_implicit_angry_0019_STYLE.wav,angry,salmonn
angry,implicit,angry,STYLE,10_angry_implicit_angry_0011_STYLE.wav,angry,salmonn
angry,implicit,sad,STYLE,11_angry_implicit_sad_0016_STYLE.wav,angry,salmonn
angry,explicit,neutral,STYLE,07_angry_explicit_neutral_0020_STYLE.wav,angry,salmonn
sad,explicit,angry,STYLE,12_sad_explicit_angry_0020_STYLE.wav,sad,salmonn
angry,explicit,sad,STYLE,03_angry_explicit_sad_0020_STYLE.wav,angry,salmonn
angry,explicit,sad,STYLE,04_angry_explicit_sad_0017_STYLE.wav,angry,salmonn
angry,explicit,angry,STYLE,13_angry_explicit_angry_0018_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,24_neutral_angry_0012_STYLE.wav,neutral,salmonn
sad,implicit,sad,STYLE,07_sad_implicit_sad_0011_STYLE.wav,angry,salmonn
angry,explicit,sad,STYLE,13_angry_explicit_sad_0014_STYLE.wav,angry,salmonn
sad,implicit,sad,STYLE,10_sad_implicit_sad_0017_STYLE.wav,neutral,salmonn
sad,explicit,angry,STYLE,13_sad_explicit_angry_0012_STYLE.wav,sad,salmonn
angry,explicit,sad,STYLE,01_angry_explicit_sad_0013_STYLE.wav,angry,salmonn
happy,explicit,angry,STYLE,03_happy_explicit_angry_0018_STYLE.wav,happy,salmonn
sad,implicit,neutral,STYLE,02_sad_implicit_neutral_0012_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,04_neutral_neutral_0020_STYLE.wav,neutral,salmonn
happy,explicit,sad,STYLE,03_happy_explicit_sad_0014_STYLE.wav,happy,salmonn
neutral,neutral,sad,STYLE,25_neutral_sad_0020_STYLE.wav,neutral,salmonn
angry,implicit,neutral,STYLE,06_angry_implicit_neutral_0018_STYLE.wav,angry,salmonn
happy,implicit,sad,STYLE,04_happy_implicit_sad_0012_STYLE.wav,happy,salmonn
happy,explicit,neutral,STYLE,08_happy_explicit_neutral_0017_STYLE.wav,happy,salmonn
angry,implicit,happy,STYLE,08_angry_implicit_happy_0015_STYLE.wav,angry,salmonn
happy,implicit,neutral,STYLE,12_happy_implicit_neutral_0017_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,01_neutral_happy_0014_STYLE.wav,angry,salmonn
sad,implicit,sad,STYLE,05_sad_implicit_sad_0017_STYLE.wav,neutral,salmonn
angry,implicit,sad,STYLE,05_angry_implicit_sad_0015_STYLE.wav,angry,salmonn
happy,implicit,neutral,STYLE,13_happy_implicit_neutral_0014_STYLE.wav,angry,salmonn
happy,explicit,happy,STYLE,05_happy_explicit_happy_0020_STYLE.wav,happy,salmonn
sad,explicit,happy,STYLE,07_sad_explicit_happy_0012_STYLE.wav,sad,salmonn
happy,explicit,angry,STYLE,12_happy_explicit_angry_0011_STYLE.wav,happy,salmonn
sad,implicit,neutral,STYLE,09_sad_implicit_neutral_0020_STYLE.wav,neutral,salmonn
happy,implicit,neutral,STYLE,03_happy_implicit_neutral_0018_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,21_neutral_happy_0020_STYLE.wav,neutral,salmonn
angry,implicit,sad,STYLE,06_angry_implicit_sad_0017_STYLE.wav,angry,salmonn
happy,implicit,angry,STYLE,04_happy_implicit_angry_0015_STYLE.wav,angry,salmonn
happy,implicit,neutral,STYLE,11_happy_implicit_neutral_0013_STYLE.wav,angry,salmonn
happy,implicit,angry,STYLE,08_happy_implicit_angry_0016_STYLE.wav,neutral,salmonn
neutral,neutral,neutral,STYLE,17_neutral_neutral_0011_STYLE.wav,neutral,salmonn
sad,implicit,sad,STYLE,11_sad_implicit_sad_0016_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,01_neutral_angry_0013_STYLE.wav,angry,salmonn
happy,implicit,happy,STYLE,10_happy_implicit_happy_0015_STYLE.wav,angry,salmonn
